platform,category,amount,transaction_type,location,hour,is_peak,is_urban,fee,speed_seconds,success,flagged
M-PESA,mobile,130500.0,Mobile Money Transfer,Kigoma,13,1,0,861,16,1,0
Airtel Money,mobile,50900.0,Merchant Payment,Zanzibar,17,1,0,356,27,1,0
Mixx by Yas,mobile,11400.0,Mobile Money Transfer,Morogoro,13,1,0,200,20,1,0
Mixx by Yas,mobile,57600.0,Salary Payment,Tanga,12,1,0,392,22,0,0
M-PESA,mobile,8300.0,Salary Payment,Iringa,3,0,0,200,17,1,0
Airtel Money,mobile,174100.0,Bank Transfer,Dar es Salaam,18,1,1,1219,25,1,0
NBC Bank,bank,45200.0,Mobile Money Transfer,Iringa,22,0,0,1000,28,1,0
NBC Bank,bank,209800.0,Merchant Payment,Zanzibar,20,1,0,1000,30,1,0
Bank Transfers (TIPS/EFT),bank,36100.0,Bill Payment,Dodoma,22,0,0,1500,45,1,0
Bank Transfers (TIPS/EFT),bank,34300.0,Mobile Money Transfer,Iringa,16,0,0,1500,45,1,0
NBC Bank,bank,7400.0,Airtime/Bundles,Dodoma,10,0,0,1000,28,1,0
Airtel Money,mobile,69300.0,Bill Payment,Mwanza,22,0,1,485,21,1,0
CRDB Bank,bank,44900.0,Salary Payment,Dodoma,17,1,0,1000,26,0,0
Airtel Money,mobile,25700.0,Salary Payment,Mbeya,11,0,0,200,20,1,0
AzamPay/Selcom,aggregator,16600.0,Bill Payment,Arusha,8,1,1,300,24,1,0
Mixx by Yas,mobile,12700.0,Bill Payment,Dodoma,15,0,0,200,18,1,0
Mixx by Yas,mobile,9700.0,Salary Payment,Kigoma,23,0,0,200,18,1,0
Airtel Money,mobile,11100.0,Airtime/Bundles,Iringa,3,0,0,200,21,1,0
Airtel Money,mobile,7000.0,Bank Transfer,Dar es Salaam,17,1,1,200,20,1,0
CRDB Bank,bank,43800.0,Airtime/Bundles,Kigoma,7,1,0,1000,29,1,0
M-PESA,mobile,32300.0,Merchant Payment,Arusha,15,0,1,213,16,1,0
Bank Transfers (TIPS/EFT),bank,9600.0,Bank Transfer,Dar es Salaam,20,1,1,1500,51,1,0
AzamPay/Selcom,aggregator,62600.0,Merchant Payment,Iringa,7,1,0,376,26,1,0
NBC Bank,bank,26800.0,Mobile Money Transfer,Mwanza,12,1,1,1000,33,1,0
NMB Bank,bank,51800.0,Mobile Money Transfer,Dodoma,10,0,0,1000,28,1,0
CRDB Bank,bank,24500.0,Bill Payment,Mbeya,9,0,0,1000,27,1,0
Bank Transfers (TIPS/EFT),bank,290300.0,Airtime/Bundles,Mwanza,11,0,1,1500,46,1,0
CRDB Bank,bank,39300.0,Bank Transfer,Dar es Salaam,6,0,1,1000,26,1,0
AzamPay/Selcom,aggregator,39500.0,Salary Payment,Tanga,15,0,0,300,20,1,0
NBC Bank,bank,8900.0,Mobile Money Transfer,Dodoma,19,1,0,1000,35,1,0
Bank Transfers (TIPS/EFT),bank,37800.0,Airtime/Bundles,Morogoro,1,0,0,1500,45,1,0
TTCL Pesa,mobile,52300.0,Bill Payment,Zanzibar,18,1,0,392,25,1,0
Bank Transfers (TIPS/EFT),bank,73800.0,Airtime/Bundles,Dodoma,17,1,0,1500,45,1,0
Mixx by Yas,mobile,130900.0,Airtime/Bundles,Zanzibar,21,0,0,890,19,1,0
Halo-Pesa,mobile,30200.0,Salary Payment,Dodoma,2,0,0,217,24,1,0
Airtel Money,mobile,13500.0,Bank Transfer,Mwanza,18,1,1,200,20,1,0
NBC Bank,bank,99700.0,Bill Payment,Dodoma,6,0,0,1000,30,1,0
M-PESA,mobile,41300.0,Airtime/Bundles,Dar es Salaam,10,0,1,273,15,1,0
TTCL Pesa,mobile,61500.0,Bank Transfer,Iringa,17,1,0,461,30,0,0
NMB Bank,bank,63000.0,Merchant Payment,Dar es Salaam,2,0,1,1000,29,1,0
M-PESA,mobile,15600.0,Bill Payment,Dodoma,20,1,0,200,21,1,0
Bank Transfers (TIPS/EFT),bank,31500.0,Mobile Money Transfer,Dodoma,1,0,0,1500,45,1,0
AzamPay/Selcom,aggregator,16100.0,Airtime/Bundles,Kigoma,23,0,0,300,22,1,0
TTCL Pesa,mobile,14400.0,Mobile Money Transfer,Dodoma,2,0,0,200,24,1,0
AzamPay/Selcom,aggregator,17800.0,Airtime/Bundles,Zanzibar,1,0,0,300,20,1,0
NBC Bank,bank,58200.0,Bank Transfer,Dar es Salaam,14,0,1,1000,29,1,0
Airtel Money,mobile,17600.0,Airtime/Bundles,Dodoma,9,0,0,200,22,1,0
AzamPay/Selcom,aggregator,56100.0,Bank Transfer,Arusha,22,0,1,337,20,1,0
NMB Bank,bank,138300.0,Mobile Money Transfer,Dodoma,11,0,0,1000,28,1,0
Bank Transfers (TIPS/EFT),bank,44000.0,Mobile Money Transfer,Dar es Salaam,7,1,1,1500,52,1,0
TTCL Pesa,mobile,13400.0,Salary Payment,Arusha,22,0,1,200,25,1,0
TTCL Pesa,mobile,136900.0,Bill Payment,Dar es Salaam,13,1,1,1027,28,1,0
NMB Bank,bank,76300.0,Merchant Payment,Zanzibar,8,1,0,1000,31,1,0
Bank Transfers (TIPS/EFT),bank,202800.0,Bank Transfer,Morogoro,21,0,0,1500,45,1,0
NBC Bank,bank,60900.0,Bank Transfer,Kigoma,9,0,0,1000,29,1,0
AzamPay/Selcom,aggregator,25800.0,Mobile Money Transfer,Morogoro,8,1,0,300,27,1,0
M-PESA,mobile,3300.0,Airtime/Bundles,Kigoma,9,0,0,200,16,1,0
CRDB Bank,bank,18900.0,Bill Payment,Dar es Salaam,23,0,1,1000,25,1,0
NBC Bank,bank,25400.0,Salary Payment,Tanga,8,1,0,1000,28,1,0
NBC Bank,bank,106700.0,Mobile Money Transfer,Iringa,23,0,0,1000,29,1,0
Airtel Money,mobile,195700.0,Salary Payment,Mwanza,7,1,1,1370,20,1,0
Bank Transfers (TIPS/EFT),bank,11700.0,Mobile Money Transfer,Arusha,21,0,1,1500,45,1,0
TTCL Pesa,mobile,144000.0,Airtime/Bundles,Mbeya,0,0,0,1080,24,1,0
CRDB Bank,bank,26800.0,Bank Transfer,Zanzibar,18,1,0,1000,32,1,0
Halo-Pesa,mobile,57600.0,Merchant Payment,Mbeya,12,1,0,415,28,1,0
Halo-Pesa,mobile,10500.0,Bank Transfer,Mwanza,8,1,1,200,27,1,0
NMB Bank,bank,14500.0,Mobile Money Transfer,Mwanza,7,1,1,1000,28,1,0
TTCL Pesa,mobile,6400.0,Merchant Payment,Morogoro,0,0,0,200,26,1,0
Bank Transfers (TIPS/EFT),bank,180500.0,Salary Payment,Mbeya,23,0,0,1500,47,1,0
NMB Bank,bank,10000.0,Airtime/Bundles,Dar es Salaam,2,0,1,1000,29,1,0
NMB Bank,bank,251000.0,Mobile Money Transfer,Iringa,3,0,0,1054,27,1,0
M-PESA,mobile,7800.0,Mobile Money Transfer,Morogoro,18,1,0,200,17,0,0
Bank Transfers (TIPS/EFT),bank,67400.0,Mobile Money Transfer,Zanzibar,15,0,0,1500,45,1,0
TTCL Pesa,mobile,62200.0,Airtime/Bundles,Dar es Salaam,8,1,1,466,30,1,0
NBC Bank,bank,62000.0,Mobile Money Transfer,Kigoma,17,1,0,1000,33,1,0
Airtel Money,mobile,21400.0,Bank Transfer,Mbeya,0,0,0,200,22,1,0
TTCL Pesa,mobile,22200.0,Bank Transfer,Tanga,6,0,0,200,24,1,0
Bank Transfers (TIPS/EFT),bank,3600.0,Merchant Payment,Mbeya,9,0,0,1500,47,1,0
M-PESA,mobile,68100.0,Bill Payment,Zanzibar,10,0,0,449,17,1,0
CRDB Bank,bank,76000.0,Mobile Money Transfer,Dodoma,23,0,0,1000,26,1,0
Bank Transfers (TIPS/EFT),bank,333500.0,Bill Payment,Dodoma,2,0,0,1500,46,1,0
Halo-Pesa,mobile,44900.0,Bill Payment,Kigoma,8,1,0,323,26,0,0
CRDB Bank,bank,24100.0,Bill Payment,Kigoma,9,0,0,1000,25,1,0
Bank Transfers (TIPS/EFT),bank,93100.0,Airtime/Bundles,Tanga,15,0,0,1500,45,1,0
Airtel Money,mobile,633600.0,Mobile Money Transfer,Morogoro,6,0,0,4435,22,1,0
Bank Transfers (TIPS/EFT),bank,19400.0,Salary Payment,Arusha,19,1,1,1500,46,1,0
CRDB Bank,bank,219300.0,Bill Payment,Tanga,7,1,0,1000,32,1,0
Bank Transfers (TIPS/EFT),bank,13500.0,Salary Payment,Arusha,0,0,1,1500,45,1,0
CRDB Bank,bank,138100.0,Mobile Money Transfer,Dar es Salaam,20,1,1,1000,25,1,0
TTCL Pesa,mobile,71000.0,Merchant Payment,Mbeya,9,0,0,532,25,1,0
AzamPay/Selcom,aggregator,35800.0,Mobile Money Transfer,Morogoro,6,0,0,300,21,1,0
TTCL Pesa,mobile,32400.0,Salary Payment,Arusha,7,1,1,243,26,1,0
Mixx by Yas,mobile,51000.0,Merchant Payment,Iringa,11,0,0,347,18,1,0
NMB Bank,bank,29000.0,Mobile Money Transfer,Dar es Salaam,22,0,1,1000,27,1,0
Airtel Money,mobile,2400.0,Bill Payment,Arusha,2,0,1,200,21,1,1
Mixx by Yas,mobile,314000.0,Salary Payment,Mbeya,3,0,0,2135,18,1,0
Bank Transfers (TIPS/EFT),bank,10700.0,Salary Payment,Tanga,21,0,0,1500,47,1,0
CRDB Bank,bank,61800.0,Airtime/Bundles,Arusha,5,0,1,1000,27,1,0
M-PESA,mobile,4300.0,Bill Payment,Dar es Salaam,16,0,1,200,15,1,0
AzamPay/Selcom,aggregator,49300.0,Merchant Payment,Dodoma,14,0,0,300,20,1,0
Airtel Money,mobile,39000.0,Mobile Money Transfer,Iringa,6,0,0,273,20,0,0
Halo-Pesa,mobile,48900.0,Mobile Money Transfer,Dar es Salaam,21,0,1,352,24,1,0
M-PESA,mobile,8100.0,Mobile Money Transfer,Arusha,8,1,1,200,20,1,0
Airtel Money,mobile,124400.0,Merchant Payment,Kigoma,6,0,0,871,22,1,0
NMB Bank,bank,170200.0,Airtime/Bundles,Morogoro,6,0,0,1000,29,1,0
Bank Transfers (TIPS/EFT),bank,18200.0,Mobile Money Transfer,Mwanza,12,1,1,1500,50,1,0
Halo-Pesa,mobile,48700.0,Bill Payment,Dodoma,8,1,0,351,29,1,0
Bank Transfers (TIPS/EFT),bank,9000.0,Salary Payment,Mwanza,11,0,1,1500,46,1,0
CRDB Bank,bank,155900.0,Bank Transfer,Zanzibar,12,1,0,1000,31,1,0
NMB Bank,bank,12400.0,Salary Payment,Morogoro,2,0,0,1000,27,1,0
Bank Transfers (TIPS/EFT),bank,37900.0,Airtime/Bundles,Zanzibar,22,0,0,1500,47,1,0
CRDB Bank,bank,15500.0,Bank Transfer,Dar es Salaam,14,0,1,1000,26,1,0
Halo-Pesa,mobile,50700.0,Airtime/Bundles,Dodoma,7,1,0,365,23,1,0
NBC Bank,bank,6400.0,Merchant Payment,Mbeya,18,1,0,1000,35,1,0
Airtel Money,mobile,22300.0,Mobile Money Transfer,Mbeya,10,0,0,200,20,1,0
Mixx by Yas,mobile,3800.0,Bank Transfer,Kigoma,2,0,0,200,18,1,0
AzamPay/Selcom,aggregator,47600.0,Mobile Money Transfer,Iringa,14,0,0,300,22,1,0
Bank Transfers (TIPS/EFT),bank,21600.0,Merchant Payment,Mbeya,2,0,0,1500,46,1,0
Airtel Money,mobile,38000.0,Bill Payment,Dodoma,2,0,0,266,22,1,0
AzamPay/Selcom,aggregator,58000.0,Bill Payment,Dodoma,18,1,0,348,23,1,0
Airtel Money,mobile,27700.0,Airtime/Bundles,Dodoma,9,0,0,200,20,1,0
M-PESA,mobile,17200.0,Bill Payment,Kigoma,17,1,0,200,19,1,0
CRDB Bank,bank,186500.0,Merchant Payment,Arusha,7,1,1,1000,26,1,0
Halo-Pesa,mobile,347500.0,Bank Transfer,Mbeya,12,1,0,2502,24,1,0
Airtel Money,mobile,62200.0,Mobile Money Transfer,Mbeya,20,1,0,435,27,1,0
Airtel Money,mobile,112200.0,Merchant Payment,Mwanza,2,0,1,785,20,1,0
TTCL Pesa,mobile,51400.0,Bank Transfer,Morogoro,15,0,0,386,24,1,0
Halo-Pesa,mobile,62500.0,Bill Payment,Kigoma,22,0,0,450,22,1,0
NBC Bank,bank,535800.0,Mobile Money Transfer,Zanzibar,15,0,0,2358,30,1,0
Mixx by Yas,mobile,34800.0,Bank Transfer,Morogoro,23,0,0,237,20,1,0
Airtel Money,mobile,25900.0,Airtime/Bundles,Tanga,11,0,0,200,21,1,0
NBC Bank,bank,22100.0,Bill Payment,Tanga,14,0,0,1000,29,1,0
Airtel Money,mobile,87800.0,Salary Payment,Kigoma,14,0,0,615,20,1,0
Mixx by Yas,mobile,25300.0,Salary Payment,Zanzibar,15,0,0,200,20,1,0
NBC Bank,bank,31800.0,Salary Payment,Morogoro,3,0,0,1000,30,1,0
Airtel Money,mobile,15100.0,Bank Transfer,Tanga,9,0,0,200,20,1,0
NMB Bank,bank,23200.0,Airtime/Bundles,Tanga,7,1,0,1000,27,1,0
Bank Transfers (TIPS/EFT),bank,10400.0,Salary Payment,Iringa,16,0,0,1500,45,1,0
Mixx by Yas,mobile,54600.0,Salary Payment,Iringa,17,1,0,371,19,1,0
CRDB Bank,bank,37900.0,Bank Transfer,Mwanza,15,0,1,1000,26,1,0
NMB Bank,bank,65000.0,Bank Transfer,Mbeya,16,0,0,1000,29,1,0
AzamPay/Selcom,aggregator,11500.0,Salary Payment,Kigoma,13,1,0,300,26,1,0
Mixx by Yas,mobile,19000.0,Salary Payment,Iringa,7,1,0,200,24,1,0
Mixx by Yas,mobile,682900.0,Airtime/Bundles,Tanga,10,0,0,4644,18,1,0
Mixx by Yas,mobile,61900.0,Bill Payment,Mbeya,6,0,0,421,18,1,0
Halo-Pesa,mobile,10000.0,Mobile Money Transfer,Mbeya,19,1,0,200,26,1,0
Airtel Money,mobile,27600.0,Bill Payment,Iringa,6,0,0,200,20,1,0
AzamPay/Selcom,aggregator,203300.0,Salary Payment,Tanga,1,0,0,1220,21,1,0
AzamPay/Selcom,aggregator,22200.0,Bill Payment,Dodoma,17,1,0,300,26,1,0
Mixx by Yas,mobile,94300.0,Bank Transfer,Zanzibar,15,0,0,641,18,0,0
M-PESA,mobile,65700.0,Mobile Money Transfer,Iringa,7,1,0,434,17,1,0
Halo-Pesa,mobile,9700.0,Airtime/Bundles,Mwanza,18,1,1,200,25,1,0
Halo-Pesa,mobile,216400.0,Airtime/Bundles,Kigoma,4,0,0,1558,23,1,0
Bank Transfers (TIPS/EFT),bank,23500.0,Mobile Money Transfer,Mwanza,12,1,1,1500,45,1,1
TTCL Pesa,mobile,27400.0,Mobile Money Transfer,Dar es Salaam,8,1,1,206,29,1,0
M-PESA,mobile,12400.0,Salary Payment,Morogoro,12,1,0,200,19,1,0
NBC Bank,bank,39100.0,Merchant Payment,Zanzibar,4,0,0,1000,29,1,0
TTCL Pesa,mobile,18900.0,Merchant Payment,Tanga,18,1,0,200,25,1,0
Airtel Money,mobile,125000.0,Mobile Money Transfer,Mwanza,16,0,1,875,22,1,0
Bank Transfers (TIPS/EFT),bank,36400.0,Bill Payment,Iringa,23,0,0,1500,46,1,0
NMB Bank,bank,26800.0,Merchant Payment,Zanzibar,0,0,0,1000,28,1,0
TTCL Pesa,mobile,23500.0,Mobile Money Transfer,Iringa,14,0,0,200,24,1,0
NBC Bank,bank,5300.0,Bill Payment,Morogoro,3,0,0,1000,29,1,0
TTCL Pesa,mobile,13900.0,Bank Transfer,Kigoma,1,0,0,200,26,1,0
NMB Bank,bank,75800.0,Salary Payment,Kigoma,2,0,0,1000,28,1,0
Halo-Pesa,mobile,381800.0,Merchant Payment,Mbeya,4,0,0,2749,23,1,0
Mixx by Yas,mobile,20300.0,Bank Transfer,Dodoma,1,0,0,200,18,1,0
Mixx by Yas,mobile,561300.0,Mobile Money Transfer,Mwanza,6,0,1,3817,18,1,0
Bank Transfers (TIPS/EFT),bank,1500.0,Airtime/Bundles,Dodoma,1,0,0,1500,45,1,0
Bank Transfers (TIPS/EFT),bank,170900.0,Airtime/Bundles,Tanga,12,1,0,1500,45,1,0
Halo-Pesa,mobile,18200.0,Mobile Money Transfer,Morogoro,21,0,0,200,24,0,0
CRDB Bank,bank,2300.0,Bill Payment,Iringa,9,0,0,1000,26,1,0
Halo-Pesa,mobile,76300.0,Salary Payment,Dodoma,19,1,0,549,28,1,0
TTCL Pesa,mobile,39400.0,Bill Payment,Mwanza,22,0,1,296,24,1,0
TTCL Pesa,mobile,224200.0,Bill Payment,Mbeya,6,0,0,1682,25,1,0
M-PESA,mobile,292900.0,Bill Payment,Mwanza,3,0,1,1933,17,1,0
CRDB Bank,bank,34200.0,Bank Transfer,Arusha,12,1,1,1000,31,1,0
Bank Transfers (TIPS/EFT),bank,206700.0,Mobile Money Transfer,Kigoma,9,0,0,1500,46,1,1
M-PESA,mobile,253700.0,Salary Payment,Morogoro,1,0,0,1674,15,1,0
Mixx by Yas,mobile,39000.0,Bill Payment,Morogoro,18,1,0,265,24,1,0
CRDB Bank,bank,44500.0,Airtime/Bundles,Dodoma,10,0,0,1000,27,1,0
M-PESA,mobile,16400.0,Salary Payment,Kigoma,4,0,0,200,15,1,0
Airtel Money,mobile,75900.0,Bank Transfer,Mbeya,5,0,0,531,21,1,0
Bank Transfers (TIPS/EFT),bank,23900.0,Bill Payment,Dodoma,2,0,0,1500,47,1,0
Halo-Pesa,mobile,328900.0,Mobile Money Transfer,Dar es Salaam,22,0,1,2368,23,1,0
NMB Bank,bank,35400.0,Airtime/Bundles,Zanzibar,14,0,0,1000,29,1,0
Mixx by Yas,mobile,31300.0,Bank Transfer,Dodoma,11,0,0,213,19,1,0
Mixx by Yas,mobile,338200.0,Airtime/Bundles,Arusha,1,0,1,2300,19,1,0
TTCL Pesa,mobile,60700.0,Bill Payment,Dar es Salaam,4,0,1,455,25,0,0
Mixx by Yas,mobile,109000.0,Airtime/Bundles,Morogoro,21,0,0,741,20,1,0
Airtel Money,mobile,86400.0,Mobile Money Transfer,Kigoma,22,0,0,605,20,1,0
NBC Bank,bank,23100.0,Bill Payment,Iringa,1,0,0,1000,29,1,0
Mixx by Yas,mobile,9400.0,Merchant Payment,Dar es Salaam,16,0,1,200,20,1,0
NMB Bank,bank,5300.0,Salary Payment,Tanga,3,0,0,1000,29,1,0
AzamPay/Selcom,aggregator,212800.0,Bill Payment,Zanzibar,18,1,0,1277,23,1,0
Airtel Money,mobile,162500.0,Bill Payment,Zanzibar,1,0,0,1138,22,1,0
NMB Bank,bank,18900.0,Merchant Payment,Dodoma,20,1,0,1000,28,1,0
NMB Bank,bank,6700.0,Salary Payment,Dar es Salaam,5,0,1,1000,27,1,0
Airtel Money,mobile,83600.0,Bill Payment,Iringa,6,0,0,585,21,1,0
AzamPay/Selcom,aggregator,5500.0,Bank Transfer,Tanga,22,0,0,300,21,1,0
TTCL Pesa,mobile,116500.0,Salary Payment,Mwanza,7,1,1,874,30,1,0
Airtel Money,mobile,12200.0,Bank Transfer,Dodoma,10,0,0,200,22,1,0
Bank Transfers (TIPS/EFT),bank,11900.0,Airtime/Bundles,Dodoma,14,0,0,1500,46,1,0
Mixx by Yas,mobile,8100.0,Salary Payment,Morogoro,11,0,0,200,18,1,0
Mixx by Yas,mobile,30600.0,Bank Transfer,Dar es Salaam,14,0,1,208,20,1,0
NBC Bank,bank,67000.0,Mobile Money Transfer,Zanzibar,15,0,0,1000,28,1,0
AzamPay/Selcom,aggregator,40500.0,Merchant Payment,Mwanza,10,0,1,300,21,1,0
CRDB Bank,bank,118900.0,Bill Payment,Mwanza,12,1,1,1000,29,1,0
NBC Bank,bank,41400.0,Bill Payment,Dodoma,8,1,0,1000,33,0,0
CRDB Bank,bank,6300.0,Mobile Money Transfer,Kigoma,3,0,0,1000,25,1,0
AzamPay/Selcom,aggregator,54000.0,Merchant Payment,Zanzibar,20,1,0,324,21,1,0
Halo-Pesa,mobile,17300.0,Merchant Payment,Mwanza,3,0,1,200,23,1,0
TTCL Pesa,mobile,53500.0,Bank Transfer,Zanzibar,2,0,0,401,26,1,0
Halo-Pesa,mobile,54000.0,Bill Payment,Arusha,11,0,1,389,22,1,0
Halo-Pesa,mobile,42600.0,Bill Payment,Dodoma,0,0,0,307,23,1,0
CRDB Bank,bank,15400.0,Airtime/Bundles,Mwanza,11,0,1,1000,26,1,0
NMB Bank,bank,27400.0,Airtime/Bundles,Iringa,12,1,0,1000,33,1,0
CRDB Bank,bank,76200.0,Bill Payment,Mbeya,9,0,0,1000,27,1,0
Airtel Money,mobile,11500.0,Merchant Payment,Zanzibar,1,0,0,200,22,1,0
Airtel Money,mobile,48300.0,Merchant Payment,Zanzibar,6,0,0,338,22,1,0
CRDB Bank,bank,70400.0,Merchant Payment,Dodoma,5,0,0,1000,25,1,0
M-PESA,mobile,17100.0,Salary Payment,Tanga,4,0,0,200,17,1,0
Bank Transfers (TIPS/EFT),bank,43000.0,Merchant Payment,Tanga,23,0,0,1500,47,1,0
CRDB Bank,bank,87200.0,Merchant Payment,Iringa,10,0,0,1000,26,1,0
Halo-Pesa,mobile,6300.0,Salary Payment,Arusha,16,0,1,200,22,0,0
Mixx by Yas,mobile,30200.0,Merchant Payment,Zanzibar,19,1,0,205,19,1,0
Halo-Pesa,mobile,112600.0,Merchant Payment,Dodoma,13,1,0,811,25,1,0
NBC Bank,bank,57200.0,Airtime/Bundles,Dodoma,9,0,0,1000,30,1,0
NBC Bank,bank,34000.0,Salary Payment,Dar es Salaam,9,0,1,1000,29,1,0
Mixx by Yas,mobile,45900.0,Merchant Payment,Arusha,21,0,1,312,18,1,0
Mixx by Yas,mobile,39900.0,Mobile Money Transfer,Iringa,12,1,0,271,21,1,0
Mixx by Yas,mobile,72600.0,Mobile Money Transfer,Zanzibar,15,0,0,494,19,1,0
AzamPay/Selcom,aggregator,2200.0,Mobile Money Transfer,Arusha,12,1,1,300,20,1,0
CRDB Bank,bank,35600.0,Airtime/Bundles,Dodoma,18,1,0,1000,25,1,0
AzamPay/Selcom,aggregator,28400.0,Salary Payment,Zanzibar,1,0,0,300,22,1,0
Halo-Pesa,mobile,31500.0,Bank Transfer,Morogoro,13,1,0,227,28,1,0
Mixx by Yas,mobile,69100.0,Merchant Payment,Tanga,6,0,0,470,19,1,0
M-PESA,mobile,42400.0,Airtime/Bundles,Dodoma,23,0,0,280,15,1,0
Bank Transfers (TIPS/EFT),bank,15700.0,Bank Transfer,Mbeya,14,0,0,1500,47,1,0
NMB Bank,bank,42700.0,Salary Payment,Zanzibar,7,1,0,1000,29,1,0
NMB Bank,bank,15200.0,Salary Payment,Dar es Salaam,10,0,1,1000,27,1,0
TTCL Pesa,mobile,78300.0,Mobile Money Transfer,Kigoma,20,1,0,587,30,1,0
M-PESA,mobile,5500.0,Bank Transfer,Kigoma,5,0,0,200,17,1,0
TTCL Pesa,mobile,627500.0,Airtime/Bundles,Zanzibar,5,0,0,4706,24,0,0
NMB Bank,bank,2200.0,Salary Payment,Morogoro,2,0,0,1000,28,1,0
M-PESA,mobile,18100.0,Salary Payment,Dar es Salaam,8,1,1,200,16,1,0
Bank Transfers (TIPS/EFT),bank,18000.0,Airtime/Bundles,Mwanza,19,1,1,1500,46,1,0
Halo-Pesa,mobile,365000.0,Mobile Money Transfer,Dar es Salaam,1,0,1,2628,22,1,0
NBC Bank,bank,38000.0,Bill Payment,Kigoma,7,1,0,1000,33,1,0
NBC Bank,bank,7000.0,Bill Payment,Dar es Salaam,4,0,1,1000,30,1,0
Mixx by Yas,mobile,66700.0,Airtime/Bundles,Mwanza,22,0,1,454,20,1,0
Mixx by Yas,mobile,106000.0,Merchant Payment,Mbeya,16,0,0,721,18,1,0
Mixx by Yas,mobile,77200.0,Merchant Payment,Tanga,10,0,0,525,19,1,0
NMB Bank,bank,17000.0,Airtime/Bundles,Tanga,1,0,0,1000,29,1,0
Mixx by Yas,mobile,12100.0,Airtime/Bundles,Zanzibar,18,1,0,200,19,1,0
Bank Transfers (TIPS/EFT),bank,281300.0,Bill Payment,Dar es Salaam,14,0,1,1500,46,1,0
NMB Bank,bank,210000.0,Mobile Money Transfer,Dar es Salaam,9,0,1,1000,28,1,0
CRDB Bank,bank,137400.0,Bill Payment,Morogoro,10,0,0,1000,26,1,0
M-PESA,mobile,50400.0,Bill Payment,Zanzibar,12,1,0,333,20,1,0
Airtel Money,mobile,21300.0,Salary Payment,Mbeya,15,0,0,200,20,1,0
NBC Bank,bank,3600.0,Merchant Payment,Iringa,22,0,0,1000,29,1,0
AzamPay/Selcom,aggregator,50400.0,Merchant Payment,Mwanza,6,0,1,302,20,1,0
Bank Transfers (TIPS/EFT),bank,64900.0,Bill Payment,Tanga,17,1,0,1500,51,1,0
NMB Bank,bank,81500.0,Airtime/Bundles,Iringa,10,0,0,1000,28,1,0
NBC Bank,bank,38900.0,Mobile Money Transfer,Mwanza,15,0,1,1000,29,1,0
TTCL Pesa,mobile,214000.0,Bill Payment,Kigoma,8,1,0,1605,28,1,0
AzamPay/Selcom,aggregator,7500.0,Mobile Money Transfer,Arusha,2,0,1,300,22,1,0
Airtel Money,mobile,47900.0,Merchant Payment,Kigoma,6,0,0,335,22,1,0
M-PESA,mobile,127100.0,Mobile Money Transfer,Dodoma,12,1,0,839,19,1,0
TTCL Pesa,mobile,51400.0,Airtime/Bundles,Dodoma,0,0,0,386,26,1,0
Airtel Money,mobile,103400.0,Airtime/Bundles,Tanga,3,0,0,724,22,0,0
CRDB Bank,bank,318300.0,Merchant Payment,Zanzibar,8,1,0,1273,28,1,0
